difficulty,ablation,method,episode,reward,latency_mean,task_energy_mean,flight_energy_mean,total_energy_mean,success_rate,drop_rate,offload_ratio_mean
v2x_hotspot_hard,none,random,18,-194.05961627537812,0.12662156627485233,2.405407610345465,146.78967293736386,149.19508054770935,0.8999999999999999,0.09999999999999999,0.4957558061758936
v2x_hotspot_hard,none,random,19,-518.4335118681392,0.3829346742863015,7.838872390115113,144.72876511224604,152.56763750236115,0.7388888888888888,0.2611111111111111,0.505749552641256
v2x_hotspot_hard,none,random,20,-207.31792714262687,0.13004528292551712,2.941897167053438,147.1122791476367,150.0541763146901,0.8916666666666664,0.10833333333333331,0.4906574467349956
v2x_hotspot_hard,none,random,21,-495.7097608887913,0.3085313455962501,7.045980507663708,147.56990196371103,154.6158824713748,0.7361111111111113,0.26388888888888884,0.5037944030682857
v2x_hotspot_hard,none,random,22,-349.28838974335315,0.22500401752789984,4.74249823949954,138.15561620414056,142.89811444364005,0.8166666666666668,0.1833333333333333,0.486988623416626
v2x_hotspot_hard,none,random,23,-345.05561786255544,0.23508468087719195,5.1388670442604925,142.3655578479525,147.50442489221297,0.8222222222222224,0.17777777777777773,0.4999545916219513
v2x_hotspot_hard,none,random,24,-229.7947688821337,0.15961796401147857,3.1119225559560713,141.29813871075697,144.410061266713,0.8833333333333333,0.11666666666666667,0.5092286028844732
v2x_hotspot_hard,none,random,25,-462.48094514779757,0.32790187365152595,6.821699547538841,141.0539882274034,147.87568777494224,0.7638888888888888,0.23611111111111113,0.4944880443739751
v2x_hotspot_hard,none,random,26,-685.8019733405329,0.4810499007890195,10.59425372077349,143.53938149541864,154.13363521619215,0.6472222222222221,0.35277777777777775,0.5060357496596982
v2x_hotspot_hard,none,random,27,-173.03607805214017,0.12495798474891504,2.5403970405594745,132.49972104379856,135.04011808435806,0.913888888888889,0.08611111111111111,0.493013690383489
v2x_hotspot_hard,none,random,28,-185.1009175602859,0.14687758591286895,2.7373392167792687,138.0955485049873,140.83288772176658,0.911111111111111,0.08888888888888886,0.4729572296106588
v2x_hotspot_hard,none,random,29,-93.20893957410253,0.06913388908199776,1.4800658342313966,142.54458431854633,144.02465015277772,0.9555555555555555,0.04444444444444444,0.5071986596792529
v2x_hotspot_hard,none,random,30,-408.6034491255597,0.2562100674921607,5.190005847978911,140.40415509808005,145.59416094605893,0.7833333333333333,0.21666666666666667,0.46551428833960007
v2x_hotspot_hard,none,random,31,-479.52414402959386,0.33002235441760414,7.263363049687789,149.93985159219022,157.20321464187808,0.7527777777777778,0.24722222222222223,0.47991921745053656
v2x_hotspot_hard,none,random,32,-207.5016499118484,0.15324233430512388,3.208757316819231,141.27156141663892,144.48031873345815,0.8972222222222224,0.1027777777777778,0.5145981659791766
v2x_hotspot_hard,none,random,33,-251.87538593514785,0.1760568494146856,3.6015484091105123,146.22912311959033,149.83067152870083,0.8722222222222222,0.12777777777777777,0.5191450167615645
v2x_hotspot_hard,none,random,34,-328.9464585525945,0.23445003827380934,5.064901114778564,146.41659135265712,151.48149246743563,0.8333333333333334,0.16666666666666666,0.4820366094970275
v2x_hotspot_hard,none,random,35,-480.89723879000394,0.33551861354937657,7.239881987666609,129.7780484199473,137.01793040761393,0.7527777777777777,0.24722222222222226,0.49753581844461775
v2x_hotspot_hard,none,random,36,-531.1201146923362,0.36259455530236623,7.413383420293906,145.455776029184,152.86915944947793,0.7250000000000001,0.275,0.509624899046633
