difficulty,ablation,method,episodes,reward_mean,reward_std,latency_mean,task_energy_mean,flight_energy_mean,total_energy_mean,success_rate,drop_rate,offload_ratio_mean,target_local,target_uav,target_leo,target_local_rate,target_uav_rate,target_leo_rate
v2x_hotspot_hard,none,dqn,40,-296.0838023301911,139.90162857624702,0.2124556143466123,3.8023726181226225,86.19033289556405,89.99270551368667,0.849375,0.150625,0.5335590277777778,5752,4848,3800,0.39944444444444444,0.33666666666666667,0.2638888888888889
v2x_hotspot_hard,none,d3qn,40,-294.5186654625277,138.70484840794722,0.2197485270856309,4.116190827787917,86.19033289556405,90.30652372335197,0.8522916666666667,0.14770833333333333,0.5392534722222223,5773,3504,5123,0.4009027777777778,0.24333333333333335,0.3557638888888889
v2x_hotspot_hard,none,gat_ppo,40,-119.99809327039694,56.08796779527119,0.11868392145916762,2.0492351868899994,147.01348298299678,149.06271816988678,0.9494444444444443,0.050555555555555555,0.21032986111111113,10541,486,3373,0.7320138888888889,0.03375,0.23423611111111112
v2x_hotspot_hard,none,transformer_ppo,40,-117.66671586715456,54.667275107168265,0.1152433386347004,1.748248228057473,147.55555039402307,149.3037986220805,0.9502083333333335,0.049791666666666665,0.20473958333333334,10652,261,3487,0.7397222222222222,0.018125,0.24215277777777777
v2x_hotspot_hard,none,td3,40,-336.6779473539133,152.36869220028512,0.20847394294063964,4.207420100457183,146.70350974231084,150.91092984276804,0.8214583333333334,0.17854166666666665,0.49459274955093857,4815,3466,6119,0.334375,0.24069444444444443,0.42493055555555553
v2x_hotspot_hard,none,sac,40,-304.05147160529657,144.6511675224253,0.19301174586896414,3.6489397566539963,141.92582999232815,145.5747697489822,0.8401388888888889,0.1598611111111111,0.5954536180011928,4098,4280,6022,0.28458333333333335,0.2972222222222222,0.4181944444444444
v2x_hotspot_hard,none,gdrl,40,-85.20180915630453,39.1914103085296,0.10714227098374543,1.376460498000365,146.30992624053903,147.6863867385394,0.9706944444444442,0.02930555555555555,0.20692708333333334,10575,733,3092,0.734375,0.050902777777777776,0.21472222222222223
v2x_hotspot_stress,none,random,40,-436.1630008194872,156.77882691745336,0.22288933260275662,6.811412285807617,142.39262671966176,149.20403900546935,0.8308854166666666,0.16911458333333335,0.4989962152901589,6526,6354,6320,0.33989583333333334,0.3309375,0.32916666666666666
v2x_hotspot_stress,none,greedy_partial,40,-213.82298946390392,77.21518302777517,0.10136878386016661,2.7542317332525728,86.11154196754588,88.86577370079846,0.9153645833333333,0.08463541666666666,0.7457499999999999,0,272,18928,0.0,0.014166666666666666,0.9858333333333333
v2x_hotspot_stress,none,full_offload_tea,40,-210.16226172232646,64.7431778561547,0.10583072927643813,0.3088698816785211,95.14151910619422,95.45038898787274,0.9184895833333332,0.08151041666666667,0.225,14880,1565,2755,0.775,0.08151041666666667,0.14348958333333334
v2x_hotspot_stress,none,energy_guarded_tea,40,-176.5108307962129,69.49772665740007,0.09718087682598853,1.1984541989878224,90.93520979229243,92.13366399128024,0.9338020833333334,0.06619791666666666,0.19157552083333332,14778,1523,2899,0.7696875,0.07932291666666667,0.15098958333333334
v2x_hotspot_stress,none,deadline_tea,40,-162.59196231830884,62.726374572364676,0.09511044395587638,1.1721407356900357,93.45949991391531,94.63164064960533,0.9405729166666668,0.05942708333333333,0.1925,14778,1386,3036,0.7696875,0.0721875,0.158125
v2x_hotspot_stress,none,tea_partial,40,-179.90477103030452,71.96054756335353,0.09641000004091467,1.1578485393133726,86.44118514953647,87.59903368884984,0.9317708333333334,0.06822916666666666,0.19229166666666667,14778,1551,2871,0.7696875,0.08078125,0.14953125
v2x_hotspot_stress,none,follow_tea,40,-140.09821416285644,53.68869910961139,0.0922137389885174,1.0694120868436077,146.7845695254266,147.85398161227016,0.9523958333333333,0.04760416666666666,0.19380208333333332,14796,1256,3148,0.770625,0.06541666666666666,0.16395833333333334
v2x_hotspot_stress,none,predict_tea,40,-136.97420148067667,56.15922420091671,0.09279609782138838,1.0824993252808301,146.6533182217274,147.73581754700825,0.9541666666666668,0.04583333333333334,0.1928645833333333,14806,1223,3171,0.7711458333333333,0.06369791666666667,0.16515625
v2x_hotspot_stress,none,lyapunov,40,-179.90477308366684,71.96054762447379,0.09640998349774042,1.1581872239514994,86.44117960109584,87.59936682504733,0.9317708333333334,0.06822916666666666,0.19227864583333334,14778,1506,2916,0.7696875,0.0784375,0.151875
v2x_hotspot_stress,none,mpc_traj_h3,40,-134.8498070264952,54.18109726065089,0.09279480662044312,1.0894493262060867,129.1872122965445,130.27666162275057,0.9550000000000001,0.045,0.19354166666666667,14797,1190,3213,0.7706770833333333,0.06197916666666667,0.16734375
v2x_hotspot_stress,none,ppo,40,-165.71841494867326,54.50524466795737,0.10034709505482942,1.0199926547008367,147.37365142380358,148.3936440785044,0.94109375,0.05890625000000001,0.186796875,15263,174,3763,0.7949479166666666,0.0090625,0.19598958333333333
v2x_hotspot_stress,none,d3qn,40,-357.71994428816856,117.38125698464951,0.179969930116299,4.704742595299013,86.44118514953647,91.14592774483549,0.8601041666666667,0.13989583333333333,0.5383072916666667,7158,6376,5666,0.3728125,0.33208333333333334,0.29510416666666667
v2x_hotspot_stress,none,gat_ppo,40,-184.2074598841227,66.1646436694742,0.10137924210004357,0.9428994207634931,147.23788978262945,148.18078920339295,0.9317187499999999,0.06828125,0.20790364583333334,14854,724,3622,0.7736458333333334,0.03770833333333334,0.18864583333333335
v2x_hotspot_stress,none,transformer_ppo,40,-178.3838784214398,58.89296399012969,0.10238510663993153,0.8778649778992242,147.08970949785663,147.96757447575587,0.9350000000000002,0.065,0.20652343750000002,14974,206,4020,0.7798958333333333,0.010729166666666666,0.209375
v2x_hotspot_stress,none,td3,40,-419.9842624541249,158.69617216418126,0.18195465608294217,5.398478307911564,146.13577283584564,151.53425114375722,0.8291145833333335,0.17088541666666668,0.539424830158241,5345,6756,7099,0.27838541666666666,0.351875,0.36973958333333334
v2x_hotspot_stress,none,sac,40,-414.54559881937547,146.73669144376106,0.1665797723531758,5.285599603386895,140.95800339165052,146.2436029950374,0.8280208333333332,0.17197916666666666,0.571640702948595,4175,7035,7990,0.21744791666666666,0.36640625,0.4161458333333333
v2x_hotspot_stress,none,gdrl,40,-132.56758598700736,54.663247587162914,0.09260789960731083,1.0914505352566501,146.1016886480155,147.19313918327217,0.95640625,0.04359375,0.192890625,14806,1209,3185,0.7711458333333333,0.06296875,0.16588541666666667
