method,mover,layout,cell,scene_seed,hotspot_centers,success_rate,mean_delay_s,eff_latency_s,energy_j,leo_invalid_attempts,leo_placements,dep_violations,apps_arrived,apps_done,apps_failed,frac_unassociated,fail_uncovered
B3-hover,hover,corners,R800-l0.2,7,"[150.0, 150.0, 1850.0, 1850.0]",0.7424242424242424,1.4770801704287408,3.642075,14942.450640911955,51,179,0,66,49,14,0.225,14
B7-hoverHot,hover,corners,R800-l0.2,7,"[150.0, 150.0, 1850.0, 1850.0]",0.6842105263157895,1.0589402048661647,3.092959,14683.845785790554,437,205,0,76,52,15,0.35,13
Ours(T-patrol),patrol,corners,R800-l0.2,8,"[150.0, 150.0, 1850.0, 1850.0]",0.7894736842105263,1.6100126422606107,3.797378,18544.441341885133,124,175,0,57,45,12,0.2415,12
B3-hover,hover,corners,R800-l0.2,8,"[150.0, 150.0, 1850.0, 1850.0]",0.7666666666666667,1.167750150968113,3.295275,13547.352009161688,158,184,0,60,46,12,0.175,10
B7-hoverHot,hover,corners,R800-l0.2,8,"[150.0, 150.0, 1850.0, 1850.0]",0.6875,1.189262545802451,3.630118,13759.786728021216,23,169,0,64,44,15,0.4,15
Ours(T-patrol),patrol,corners,R800-l0.2,9,"[150.0, 150.0, 1850.0, 1850.0]",0.625,1.1914674450056066,4.078,18337.494410581945,612,180,0,72,45,20,0.3005,19
B3-hover,hover,corners,R800-l0.2,9,"[150.0, 150.0, 1850.0, 1850.0]",0.4714285714285714,0.983404847257197,5.263605,13541.852627669869,718,142,0,70,33,28,0.3,23
B7-hoverHot,hover,corners,R800-l0.2,9,"[150.0, 150.0, 1850.0, 1850.0]",0.8372093023255814,1.3327425648660842,2.511133,14830.42642385622,966,287,0,86,72,10,0.275,5
Ours(T-patrol),patrol,interior,R800-l0.2,0,"[700.0, 700.0, 1300.0, 1300.0]",0.8333333333333334,1.6998514113400611,3.063602,21003.632438679822,548,314,0,102,85,14,0.295,10
B3-hover,hover,interior,R800-l0.2,0,"[700.0, 700.0, 1300.0, 1300.0]",0.7676767676767676,1.6006493677068643,3.531812,16454.392442218057,698,296,0,99,76,19,0.325,13
B7-hoverHot,hover,interior,R800-l0.2,0,"[700.0, 700.0, 1300.0, 1300.0]",0.7766990291262136,1.5648162633159157,3.312479,16542.263539919608,682,299,0,103,80,18,0.225,12
Ours(T-patrol),patrol,interior,R800-l0.2,1,"[700.0, 700.0, 1300.0, 1300.0]",0.7934782608695652,1.817893165206734,2.877241,21184.364536503,49,277,0,92,73,11,0.2955,11
B3-hover,hover,interior,R800-l0.2,1,"[700.0, 700.0, 1300.0, 1300.0]",0.8,1.6857619893981548,3.495978,16642.026005290303,452,278,0,95,76,17,0.3,14
B7-hoverHot,hover,interior,R800-l0.2,1,"[700.0, 700.0, 1300.0, 1300.0]",0.8275862068965517,1.735809260381212,2.953773,17205.701613134628,298,272,0,87,72,11,0.25,8
Ours(T-patrol),patrol,interior,R800-l0.2,2,"[700.0, 700.0, 1300.0, 1300.0]",0.7916666666666666,1.7540659721249128,3.088636,23168.9925768754,1794,357,0,120,95,17,0.223,6
B3-hover,hover,interior,R800-l0.2,2,"[700.0, 700.0, 1300.0, 1300.0]",0.7815126050420168,2.1039990476006345,3.560268,20444.029976119768,1857,336,0,119,93,19,0.175,5
B7-hoverHot,hover,interior,R800-l0.2,2,"[700.0, 700.0, 1300.0, 1300.0]",0.8623853211009175,1.6965681622161828,2.894288,19484.724054500966,1184,319,0,109,94,13,0.15,5
Ours(T-patrol),patrol,interior,R800-l0.2,3,"[700.0, 700.0, 1300.0, 1300.0]",0.7974683544303798,1.3686390277915368,2.610434,19750.285470593426,431,238,0,79,63,10,0.192,6
B3-hover,hover,interior,R800-l0.2,3,"[700.0, 700.0, 1300.0, 1300.0]",0.7307692307692307,1.4670225614522903,2.918209,14812.065679123742,641,226,0,78,57,12,0.175,8
B7-hoverHot,hover,interior,R800-l0.2,3,"[700.0, 700.0, 1300.0, 1300.0]",0.788235294117647,1.1971404715804723,2.778922,15059.396460148813,412,255,0,85,67,13,0.225,11
Ours(T-patrol),patrol,interior,R800-l0.2,4,"[700.0, 700.0, 1300.0, 1300.0]",0.8165137614678899,2.3421029831593914,3.783919,23942.74685414571,807,309,0,109,89,17,0.226,11
B3-hover,hover,interior,R800-l0.2,4,"[700.0, 700.0, 1300.0, 1300.0]",0.728,1.9201599242570504,3.509876,18984.114518400387,571,328,0,125,91,22,0.25,18
B7-hoverHot,hover,interior,R800-l0.2,4,"[700.0, 700.0, 1300.0, 1300.0]",0.7478991596638656,1.699813380599061,3.489776,17551.819631648923,429,334,0,119,89,22,0.3,18
Ours(T-patrol),patrol,interior,R800-l0.2,5,"[700.0, 700.0, 1300.0, 1300.0]",0.7446808510638298,1.4702955228396295,3.392773,19598.419884988212,115,272,0,94,70,18,0.324,18
B3-hover,hover,interior,R800-l0.2,5,"[700.0, 700.0, 1300.0, 1300.0]",0.7551020408163265,1.2437368798667459,3.14323,14454.859380291937,144,290,0,98,74,18,0.3,18
B7-hoverHot,hover,interior,R800-l0.2,5,"[700.0, 700.0, 1300.0, 1300.0]",0.7373737373737373,1.4132183407580716,3.587525,16258.4768261885,1478,279,0,99,73,21,0.325,13
Ours(T-patrol),patrol,interior,R800-l0.2,6,"[700.0, 700.0, 1300.0, 1300.0]",0.8170731707317073,1.5098324718948886,2.550717,20234.126057192847,375,259,0,82,67,9,0.21,6
B3-hover,hover,interior,R800-l0.2,6,"[700.0, 700.0, 1300.0, 1300.0]",0.75,1.39219860256982,3.41257,15362.360716771997,1104,217,0,76,57,15,0.25,10
B7-hoverHot,hover,interior,R800-l0.2,6,"[700.0, 700.0, 1300.0, 1300.0]",0.7951807228915663,1.6508419503516212,3.336814,15943.655012360578,1308,262,0,83,66,14,0.25,6
Ours(T-patrol),patrol,interior,R800-l0.2,7,"[700.0, 700.0, 1300.0, 1300.0]",0.8113207547169812,1.71270780913178,3.314084,22873.801693929403,1294,302,0,106,86,17,0.2445,10
B3-hover,hover,interior,R800-l0.2,7,"[700.0, 700.0, 1300.0, 1300.0]",0.8378378378378378,2.0577572828109054,2.805148,20063.1139658659,993,312,0,111,93,10,0.225,4
B7-hoverHot,hover,interior,R800-l0.2,7,"[700.0, 700.0, 1300.0, 1300.0]",0.8191489361702128,1.3105454452468055,2.477787,16468.058679686088,987,289,0,94,77,11,0.175,4
Ours(T-patrol),patrol,interior,R800-l0.2,8,"[700.0, 700.0, 1300.0, 1300.0]",0.7520661157024794,2.4476510782607193,3.824267,27119.84266391458,1284,320,0,121,91,20,0.2415,10
B3-hover,hover,interior,R800-l0.2,8,"[700.0, 700.0, 1300.0, 1300.0]",0.8,2.41559503074966,3.18465,20520.0506496231,790,341,0,115,92,12,0.175,7
B7-hoverHot,hover,interior,R800-l0.2,8,"[700.0, 700.0, 1300.0, 1300.0]",0.8278688524590164,2.2705349357884566,3.060033,21014.391329340902,891,354,0,122,101,12,0.225,6
Ours(T-patrol),patrol,interior,R800-l0.2,9,"[700.0, 700.0, 1300.0, 1300.0]",0.7714285714285715,2.3229629194973183,4.077714,22325.43005630862,1420,314,0,105,81,20,0.3005,10
B3-hover,hover,interior,R800-l0.2,9,"[700.0, 700.0, 1300.0, 1300.0]",0.8285714285714286,1.896437383667915,3.399905,16915.88196752765,1431,338,0,105,87,16,0.3,7
B7-hoverHot,hover,interior,R800-l0.2,9,"[700.0, 700.0, 1300.0, 1300.0]",0.8125,1.924966308242018,3.314035,16590.464678317127,715,298,0,96,78,14,0.275,9
