cell,N,K,method,seed,success_rate,mean_delay_s,energy_j,leo_invalid_attempts,leo_placements,dep_violations,apps_arrived,apps_done,apps_failed,frac_unassociated,fail_uncovered
N30-K3,30,3,B4-flat,4,0.5606060606060606,2.7692864602469403,22377.47264337725,64,120,0,66,37,21,0.2786666666666667,19
N40-K3,40,3,Ours(T-patrol),0,0.7105263157894737,2.0434151196048194,21864.577049384665,889,309,0,114,81,25,0.295,20
N40-K3,40,3,Ours(T-patrol),1,0.67,1.6165307286992268,19707.670555347595,274,265,0,100,67,23,0.2955,22
N40-K3,40,3,Ours(T-patrol),2,0.8191489361702128,1.7161696621918894,21171.802378221513,236,286,0,94,77,13,0.223,11
N40-K3,40,3,Ours(T-patrol),3,0.7821782178217822,2.271419973638909,22430.188008177032,1197,296,0,101,79,17,0.192,13
N40-K3,40,3,Ours(T-patrol),4,0.673469387755102,1.7940293876785207,21017.5541334551,1131,267,0,98,66,24,0.226,16
N40-K3,40,3,B3-hover,0,0.5688073394495413,1.251818872925062,14600.109278277785,36,231,0,109,62,35,0.325,35
N40-K3,40,3,B3-hover,1,0.6138613861386139,1.5963840973513586,15428.156944413831,449,244,0,101,62,30,0.3,26
N40-K3,40,3,B3-hover,2,0.7191011235955056,1.6409448809282141,15577.968639473362,341,248,0,89,64,16,0.175,14
N40-K3,40,3,B3-hover,3,0.7011494252873564,1.533889337496867,15929.907700315496,838,232,0,87,61,22,0.175,16
N40-K3,40,3,B3-hover,4,0.625,1.3258462264369417,15101.741256694731,676,215,0,88,55,29,0.25,23
N40-K3,40,3,B2-chase,0,0.6727272727272727,2.1048830289718423,18870.366683223136,240,271,0,110,74,28,0.347,28
N40-K3,40,3,B2-chase,1,0.7297297297297297,1.6747631516056822,19402.031589172922,351,292,0,111,81,25,0.25,22
N40-K3,40,3,B2-chase,2,0.7912087912087912,1.5517440571722192,18749.402622199297,393,272,0,91,72,13,0.1835,11
N40-K3,40,3,B2-chase,3,0.7821782178217822,2.0497570063244273,19071.833206031588,908,305,0,101,79,17,0.1635,11
N40-K3,40,3,B2-chase,4,0.75,2.1100313538563302,19299.940094434303,963,282,0,96,72,20,0.2025,13
N40-K3,40,3,B6-noVWprune,0,0.7850467289719626,2.222770330648501,23067.891086330583,452,319,0,107,84,19,0.295,16
N40-K3,40,3,B6-noVWprune,1,0.719626168224299,2.0810983497103512,22677.566210341276,226,283,0,107,77,25,0.2955,22
