R,cell,delta,episodes,lambda_high,method,mover,scene_seed,train_seed,wall_s,success_rate,mean_delay_s,energy_j,leo_invalid_attempts,leo_placements,reward,apps_arrived,apps_done,apps_failed,frac_unassociated,fail_uncovered
900.0,R900-l0.2,,,0.2,B3-hover,,0,,0.0,0.7217391304347827,1.7230860664651142,17338.66759996607,1099,321,-408.0866759996606,115,83,28,0.225,19
900.0,R900-l0.2,,,0.2,B3-hover,,1,,0.0,0.8099173553719008,1.9080671837681857,19774.808112713006,638,344,-318.6880811271301,121,98,14,0.125,10
900.0,R900-l0.2,,,0.2,B3-hover,,2,,0.0,0.8061224489795918,1.7482424716510976,17122.922017121717,451,285,-290.8092201712172,98,79,14,0.1,11
900.0,R900-l0.2,,,0.2,B3-hover,,3,,0.0,0.7596153846153846,1.5949189152261047,17107.130586446572,796,290,-307.01130586446584,104,79,16,0.125,11
900.0,R900-l0.2,,,0.2,B3-hover,,4,,0.0,0.85,1.9719313502100464,18834.796723165622,1370,313,-251.2879672316562,100,85,7,0.125,1
900.0,R900-l0.2,-,250,0.2,B4-flat,patrol,0,100,47.15,0.6237623762376238,3.670933187453393,24371.73294854455,473,225,,101,63,29,0.2185,10
900.0,R900-l0.2,-,250,0.2,B4-flat,patrol,1,101,46.78,0.6176470588235294,3.8271552234782584,20994.484087019933,230,264,,102,63,29,0.195,14
900.0,R900-l0.2,-,250,0.2,B4-flat,patrol,2,102,46.57,0.7721518987341772,3.083989715588034,22658.14932077824,110,240,,79,61,13,0.1595,7
900.0,R900-l0.2,-,250,0.2,B4-flat,patrol,3,103,46.01,0.6483516483516484,4.13286952186703,22718.942934482613,179,227,,91,59,21,0.1215,8
900.0,R900-l0.2,-,250,0.2,B4-flat,patrol,4,104,45.7,0.717391304347826,3.552337756432982,22732.82324258819,476,246,,92,66,24,0.1805,13
