apps_arrived,apps_done,apps_failed,energy_j,episode,eval_seed,fail_uncovered,frac_unassociated,kind,leo_invalid_attempts,leo_placements,mean_delay_s,reward,success_rate
,,,,214,,,,train,,,,-476.9729223010732,
,,,,215,,,,train,,,,-274.40466185127485,
,,,,216,,,,train,,,,-433.2642140659561,
,,,,217,,,,train,,,,-349.0806745955771,
,,,,218,,,,train,,,,-372.57263030533744,
,,,,219,,,,train,,,,-430.6340677537716,
,,,,220,,,,train,,,,-425.85795231532256,
,,,,221,,,,train,,,,-355.9738449035083,
,,,,222,,,,train,,,,-403.75344034643354,
,,,,223,,,,train,,,,-454.9780122688359,
,,,,224,,,,train,,,,-455.55446523483295,
,,,,225,,,,train,,,,-403.17268044944706,
,,,,226,,,,train,,,,-416.71824982430553,
,,,,227,,,,train,,,,-544.1573775518751,
,,,,228,,,,train,,,,-352.2165262850137,
,,,,229,,,,train,,,,-361.0673041690441,
,,,,230,,,,train,,,,-387.42386617027324,
,,,,231,,,,train,,,,-304.5919820481816,
,,,,232,,,,train,,,,-380.9334625936699,
,,,,233,,,,train,,,,-392.32059151137565,
,,,,234,,,,train,,,,-443.62847869604866,
,,,,235,,,,train,,,,-373.02786272535303,
,,,,236,,,,train,,,,-346.5737213615637,
,,,,237,,,,train,,,,-418.57327948191227,
,,,,238,,,,train,,,,-562.6463954129383,
,,,,239,,,,train,,,,-564.8425852216226,
,,,,240,,,,train,,,,-394.0941206021829,
,,,,241,,,,train,,,,-366.45613584772633,
,,,,242,,,,train,,,,-575.6960854829417,
,,,,243,,,,train,,,,-418.7652089976173,
,,,,244,,,,train,,,,-478.794063503917,
,,,,245,,,,train,,,,-414.75256507521283,
,,,,246,,,,train,,,,-404.99040978289725,
,,,,247,,,,train,,,,-488.4936616546547,
,,,,248,,,,train,,,,-409.59939408505005,
,,,,249,,,,train,,,,-273.61957689556436,
110,69,34,25672.14005736669,249,0,20,0.295,eval,123,259,3.946880206884135,-543.601400573667,0.6272727272727273
104,66,28,22159.79066523283,249,1,24,0.2935,eval,117,250,3.2537305848397224,-458.0579066523284,0.6346153846153846
80,53,19,22944.115719264933,249,2,10,0.2125,eval,142,197,3.286623027343059,-391.0411571926493,0.6625
95,42,37,22276.208344443457,249,3,15,0.206,eval,443,179,2.9520407270025637,-532.3020834444345,0.4421052631578947
