difficulty,ablation,method,episodes,reward_mean,reward_std,latency_mean,task_energy_mean,flight_energy_mean,total_energy_mean,success_rate,drop_rate,offload_ratio_mean,target_local,target_uav,target_leo,target_local_rate,target_uav_rate,target_leo_rate,line,scale,seed,area_km,road_km,uav_speed,runtime_s
v2x_hotspot_hard,none,follow_tea,15,-97.32463246760655,36.75099910144981,0.07561131259428601,0.4191383247229269,149.4372900465793,149.85642837130217,0.9777333333333333,0.022266666666666667,0.15150000000000002,6016,305,1179,0.8021333333333334,0.04066666666666666,0.1572,real,1.0,7,1.0,0.7,25.0,2.2
v2x_hotspot_hard,none,pmeo_e,15,-135.01712800799527,61.81314413239603,0.0865474978963723,0.43379059809135967,85.0,85.43379059809135,0.9584,0.041600000000000005,0.14813333333333334,6000,528,972,0.8,0.0704,0.1296,real,1.0,7,1.0,0.7,25.0,3.3
v2x_hotspot_hard,none,random,15,-348.54988767920446,129.49821085106717,0.16368836742965032,1.4037872033925134,145.65325244040093,147.05703964379344,0.8740000000000001,0.12599999999999997,0.5033829501045058,2448,2514,2538,0.3264,0.3352,0.3384,real,1.0,7,1.0,0.7,25.0,1.4
v2x_hotspot_hard,none,postmove_exact,15,-108.22746609024448,42.51732572853623,0.08322221078369901,0.4205918849834038,148.40968176563283,148.8302736506162,0.9741333333333333,0.025866666666666666,0.16303333333333336,5920,353,1227,0.7893333333333333,0.047066666666666666,0.1636,real,1.0,42,1.0,0.7,25.0,2.2
v2x_hotspot_hard,none,current_exact,15,-111.01122373086704,43.475880791700966,0.08345686439904042,0.418233547835648,148.40968176563283,148.82791531346845,0.9728,0.027200000000000002,0.16263333333333332,5926,357,1217,0.7901333333333334,0.0476,0.16226666666666667,real,1.0,42,1.0,0.7,25.0,2.2
v2x_hotspot_hard,none,predict_tea,15,-111.01122373086704,43.475880791700966,0.08345686439904042,0.418233547835648,148.40968176563283,148.82791531346845,0.9728,0.027200000000000002,0.16263333333333332,5926,357,1217,0.7901333333333334,0.0476,0.16226666666666667,real,1.0,42,1.0,0.7,25.0,2.3
v2x_hotspot_hard,none,follow_tea,15,-115.6425802231946,45.41955784604634,0.08246853298699455,0.4062119604032368,149.01025866990358,149.4164706303068,0.9702666666666667,0.029733333333333337,0.1650333333333333,5916,381,1203,0.7888,0.0508,0.1604,real,1.0,42,1.0,0.7,25.0,2.2
v2x_hotspot_hard,none,pmeo_e,15,-153.9878697752997,66.28734388281816,0.09252794846768042,0.4371327765178472,84.80182263807689,85.23895541459474,0.9503999999999999,0.049600000000000005,0.16193333333333335,5904,568,1028,0.7872,0.07573333333333333,0.13706666666666667,real,1.0,42,1.0,0.7,25.0,3.6
v2x_hotspot_hard,none,random,15,-378.0832684037023,145.92304012072535,0.17651127777868827,1.5893332591231304,144.6869618844571,146.27629514358023,0.8623999999999999,0.1376,0.4944514299539968,2494,2548,2458,0.33253333333333335,0.33973333333333333,0.3277333333333333,real,1.0,42,1.0,0.7,25.0,1.2
v2x_hotspot_hard,none,postmove_exact,15,-73.8667954912219,32.48089289006233,0.06318825435753546,0.36063344249791646,147.69938301537704,148.06001645787495,0.9862666666666667,0.013733333333333335,0.12453333333333333,6245,271,984,0.8326666666666667,0.03613333333333334,0.1312,real,1.0,2024,1.0,0.7,25.0,2.1
v2x_hotspot_hard,none,current_exact,15,-76.32084042106743,32.018902176522836,0.06329575055909599,0.3636017331505048,147.69938301537704,148.06298474852755,0.9850666666666666,0.014933333333333335,0.12376666666666666,6249,279,972,0.8332,0.0372,0.1296,real,1.0,2024,1.0,0.7,25.0,2.0
v2x_hotspot_hard,none,predict_tea,15,-76.32096778684236,32.01899555988587,0.06329591779594869,0.3640392066363906,147.69938301537704,148.06342222201346,0.9850666666666666,0.014933333333333335,0.12373333333333332,6249,279,972,0.8332,0.0372,0.1296,real,1.0,2024,1.0,0.7,25.0,2.4
v2x_hotspot_hard,none,follow_tea,15,-77.53536559396171,30.730977183875915,0.06173772791188182,0.3493392947041169,146.31567708550412,146.66501638020827,0.9840000000000001,0.016000000000000004,0.12760000000000002,6241,237,1022,0.8321333333333333,0.0316,0.13626666666666667,real,1.0,2024,1.0,0.7,25.0,2.2
