difficulty,ablation,method,episodes,reward_mean,reward_std,latency_mean,task_energy_mean,flight_energy_mean,total_energy_mean,success_rate,drop_rate,offload_ratio_mean,target_local,target_uav,target_leo,target_local_rate,target_uav_rate,target_leo_rate,preset,energy_weight,seed,runtime_s
v2x_hotspot_hard,none,pmeo_m_eco,10,-3335.734829890772,614.530937405712,0.1814838867788879,8.12899046520385,296.43801685323916,304.5670073184431,0.8967843137254901,0.1032156862745098,0.30758823529411766,31479,6768,12753,0.6172352941176471,0.13270588235294117,0.2500588235294118,k3,0.01,7,40.0
v2x_hotspot_hard,none,mpc_m_h3,10,-3579.828998381216,653.1414378282874,0.18380170061802023,7.743060527815206,299.0972647014974,306.8403252293126,0.8855098039215686,0.11449019607843136,0.31032843137254906,31493,7318,12189,0.6175098039215686,0.14349019607843136,0.239,k3,0.01,7,59.5
v2x_hotspot_hard,none,pmeo_m,10,-3451.358945226336,379.29935500415485,0.2046500423947039,9.528937829765278,442.91479118358086,452.44372901334617,0.9041568627450982,0.09584313725490197,0.3431078431372549,29493,6346,15161,0.5782941176470588,0.1244313725490196,0.29727450980392156,k3,0.01,42,5.7
v2x_hotspot_hard,none,pmeo_m_eco,10,-3371.04212507603,400.5559206801004,0.2005882747782969,9.468080298675456,302.1738434080395,311.6419237067149,0.9001764705882354,0.0998235294117647,0.3499411764705882,28967,6346,15687,0.5679803921568627,0.1244313725490196,0.30758823529411766,k3,0.01,42,39.9
v2x_hotspot_hard,none,mpc_m_h3,10,-3542.783906902753,679.2754023445002,0.20202000265804693,9.201313593946447,300.48057975276777,309.6818933467142,0.8920196078431373,0.10798039215686273,0.3517549019607843,28966,6810,15224,0.5679607843137255,0.13352941176470587,0.2985098039215686,k3,0.01,42,59.5
v2x_hotspot_hard,none,pmeo_m,10,-3143.9814037018978,894.281753714251,0.17198793175884958,7.788349285860318,442.65460244590514,450.44295173176533,0.9109607843137255,0.0890392156862745,0.280828431372549,33310,5802,11888,0.6531372549019608,0.11376470588235293,0.23309803921568628,k3,0.01,73,5.7
v2x_hotspot_hard,none,pmeo_m_eco,10,-3143.928630014708,1037.0730824239083,0.16973680267079871,7.58540424812071,294.6855321455141,302.2709363936348,0.9031372549019607,0.09686274509803922,0.28820098039215686,32689,6375,11936,0.6409607843137255,0.125,0.2340392156862745,k3,0.01,73,40.4
v2x_hotspot_hard,none,mpc_m_h3,10,-3267.1884154086342,1070.9595278618274,0.1701066356085514,7.344959921705855,294.6996138833166,302.0445738050224,0.8971764705882354,0.10282352941176472,0.2906666666666667,32688,6586,11726,0.6409411764705882,0.1291372549019608,0.22992156862745097,k3,0.01,73,59.2
v2x_hotspot_hard,none,pmeo_m,10,-3087.8860142483836,700.1856865720821,0.1824312968381609,8.596990131774591,443.28941024198855,451.8864003737632,0.9163921568627451,0.08360784313725489,0.30466176470588235,31810,5609,13581,0.6237254901960785,0.10998039215686274,0.26629411764705885,k3,0.01,314,5.8
v2x_hotspot_hard,none,pmeo_m_eco,10,-3052.1744886376805,709.8304185314717,0.18000011383532039,8.556393113623095,299.2175149639233,307.7739080775464,0.9104705882352941,0.08952941176470589,0.3102205882352941,31262,5948,13790,0.6129803921568627,0.11662745098039215,0.2703921568627451,k3,0.01,314,37.4
